0	29
1	38
1	43
1	44
1	42
1	14
1	31
1	39
1	46
1	47
1	37
1	29
1	48
1	17
1	2
1	18
1	28
1	69
2	42
2	92
2	39
2	37
2	71
2	28
2	1
2	69
3	37
3	75
3	49
3	5
3	17
3	64
3	53
3	9
3	18
3	19
3	12
3	1
3	69
4	39
4	37
5	38
5	43
5	44
5	42
5	14
5	31
5	39
5	46
5	47
5	37
5	48
5	3
5	2
7	38
7	14
7	46
7	37
7	8
7	48
7	13
8	38
8	44
8	31
8	39
8	47
8	7
8	37
8	48
8	2
8	1
9	3
9	18
12	80
12	3
12	53
12	33
12	69
13	14
14	43
14	44
14	42
14	14
14	31
14	46
14	47
14	37
14	13
14	2
15	78
15	7
15	8
15	71
15	70
16	66
17	5
17	3
17	9
18	75
18	13
18	49
18	51
18	9
18	19
19	92
19	2
19	12
19	1
20	55
21	71
22	3
22	12
23	29
23	30
23	24
23	25
23	26
23	27
24	49
24	36
24	28
24	1
24	69
25	29
25	24
25	36
25	26
26	24
26	25
27	30
27	2
27	28
27	1
27	69
28	29
28	24
28	27
28	1
28	69
29	36
29	2
29	28
29	27
29	1
29	69
30	23
30	27
31	38
31	42
31	14
31	39
31	46
31	47
31	37
31	8
31	48
32	78
33	12
35	80
36	29
36	24
36	23
36	25
36	26
36	69
37	38
37	31
37	39
37	7
37	8
37	3
37	1
38	39
38	37
38	2
38	1
39	38
39	37
39	8
39	2
39	1
40	8
40	12
41	7
41	74
41	49
41	64
41	82
41	96
41	65
41	66
42	43
42	44
42	14
42	46
42	47
42	8
42	48
43	44
43	42
43	14
43	46
43	47
43	8
44	43
44	42
44	14
44	46
44	47
44	8
44	48
44	49
44	2
44	1
44	41
46	43
46	44
46	42
46	14
46	31
46	47
46	37
46	8
47	43
47	44
47	42
47	14
47	31
47	46
47	8
47	48
47	41
48	44
48	42
48	31
48	47
48	8
49	38
49	54
49	37
49	75
49	80
49	2
49	51
49	1
51	48
51	75
51	49
51	9
51	18
51	28
53	71
53	12
55	55
55	37
56	47
57	75
57	18
57	12
58	19
60	63
61	63
62	60
63	60
64	37
64	49
64	2
64	1
65	74
65	50
65	82
65	96
65	41
65	66
66	74
66	49
66	82
66	96
66	70
66	15
66	41
66	65
69	37
69	49
69	3
69	64
69	53
69	2
69	19
69	12
69	1
70	78
70	71
70	19
70	70
70	15
70	1
70	41
71	37
71	64
71	41
73	71
74	38
74	7
74	37
74	82
74	96
74	41
74	66
75	37
75	8
75	13
75	49
75	19
75	57
78	70
78	15
79	19
80	35
80	49
81	66
82	83
82	14
82	47
82	74
82	96
82	41
82	66
84	86
85	93
85	87
86	84
88	90
88	89
88	87
88	91
89	90
89	93
89	87
90	88
90	93
90	89
90	87
90	71
90	91
91	88
91	87
91	99
92	93
92	55
92	30
92	71
93	92
93	95
93	55
93	30
94	20
94	92
96	74
96	52
96	82
96	41
96	66
97	87
98	87
99	87
99	71
99	99
